1,2,3,4
931.7,338.4,1147006362,2
925.7,340.4,1147006378,2
914.4,340.5,1147006395,2
893.3,352.1,1147006412,2
887.9,359.5,1147006457,2
871.6,403.0,1147006471,2
896.7,337.7,1147006487,2
925.3,250.2,1147006501,2
930.2,214.3,1147006516,2
931.0,206.0,1147006532,2
929.0,191.0,1147006555,2
922.8,167.2,1147006577,2
908.9,175.0,1147006593,2
913.3,173.6,1147006607,2
929.0,180.9,1147006638,2
928.9,188.1,1147006653,2
930.2,196.1,1147006668,2
915.4,210.2,1147006683,2
907.4,231.4,1147006698,2
923.1,258.4,1147006725,2
917.9,254.6,1147006741,2
927.4,281.7,1147006758,2
922.7,284.3,1147006771,2
922.5,288.6,1147006787,2
911.1,287.8,1147006802,2
920.5,290.3,1147006816,2
947.9,301.8,1147006832,2
951.3,228.8,1147006848,2
956.5,228.2,1147006879,2
946.6,199.6,1147006891,2
940.5,127.7,1147006927,2
913.4, 79.7,1147006936,2
904.9, 77.4,1147006968,2
872.4,  5.9,1147006982,2
851.7,  3.8,1147007027,2
805.9,-115.1,1147007054,2
805.8,-115.1,1147007070,2
799.7,-116.7,1147007100,2
819.2,-99.4,1147007114,2
878.3,-37.5,1147007129,2
894.6,156.4,1147007145,2
861.4,141.9,1147007175,2
845.2,121.8,1147007191,2
857.1, 74.7,1147007206,2
846.7,119.6,1147007222,2
843.6, 73.2,1147007236,2
847.2, 46.7,1147007251,2
858.1, 27.4,1147007268,2
789.0,159.9,1147007282,2
796.0,151.5,1147007297,2
785.0,123.5,1147007332,2
805.3,125.0,1147007341,2
785.9,103.2,1147007356,2
791.8,116.7,1147007372,2
830.2, 88.5,1147007387,2
838.9, 70.4,1147007402,2
802.9, 79.7,1147007416,2
862.0,165.2,1147007432,2
834.1,154.1,1147007447,2
817.7,175.3,1147007477,2
718.9,139.8,1147007493,2
795.7,  0.3,1147007506,2
812.8, 29.5,1147007520,2
742.5,-24.3,1147007551,2
840.8, 41.8,1147007566,2
804.0, 37.1,1147007581,2
675.3, 61.0,1147007600,2
647.6, 24.1,1147007628,2
629.1, 36.4,1147007641,2
746.0,101.2,1147007656,2
726.9,102.1,1147007672,2
606.0,  1.3,1147007687,2
777.1,-31.1,1147007702,2
731.7,-27.9,1147007716,2
717.0,-15.5,1147007731,2
727.3,-27.3,1147007745,2
775.5,-27.1,1147007781,2
380.9,103.6,1147007821,2
387.6,416.3,1147007866,2
832.7,498.0,1147008284,2
549.8,177.9,1147008315,2
687.9,192.9,1147008330,2
677.4,191.9,1147008377,2
678.4,141.0,1147008405,2
197.2,-126.6,1147008420,2
184.7,-168.9,1147008452,2
570.0,-53.9,1147008466,2
943.2,118.8,1147008496,2
957.8,148.6,1147008544,2
941.1,212.9,1147008563,2
1065.3,174.7,1147008597,2
1076.4,149.2,1147008614,2
1084.0,140.1,1147008647,2
1029.3,244.0,1147008663,2
1037.3,355.3,1147008724,2
1044.6,393.5,1147008739,2
1010.0,393.9,1147008767,2
980.6,342.3,1147008781,2
984.9,369.3,1147008828,2
966.6,372.5,1147008856,2
965.4,371.0,1147008870,2
973.3,392.7,1147008901,2
971.3,395.9,1147008916,2
947.9,407.9,1147008948,2
942.3,445.2,1147008990,2
953.2,457.8,1147009005,2
951.4,439.9,1147009034,2
939.9,382.6,1147009049,2
952.5,362.0,1147009080,2
966.8,361.4,1147009095,2
999.0,326.5,1147009129,2
980.0,315.2,1147009171,2
989.7,296.2,1147009184,2
959.6,306.5,1147009217,2
972.6,322.8,1147009231,2
1031.6,347.2,1147009314,2
1120.5,112.3,1147009357,2
983.0,228.5,1147009404,2
869.7,355.7,1147009452,2
922.3,318.9,1147009465,2
984.0,338.6,1147009481,2
1076.5,431.3,1147009498,2
997.4,409.8,1147009513,2
1020.2,419.6,1147009541,2
1007.3,361.7,1147009557,2
939.8,378.4,1147009602,2
860.9,303.7,1147009667,2
780.7, 96.3,1147009741,2
1000.0, 16.7,1147009771,2
906.7,128.9,1147009786,2
887.0,178.1,1147009801,2
899.1,163.4,1147009817,2
888.5,199.2,1147009831,2
776.8,404.9,1147009848,2
788.0,410.2,1147009878,2
903.9,531.8,1147009920,2
995.6,423.8,1147009936,2
818.1,479.2,1147009966,2
865.1,579.0,1147009982,2
957.3,252.0,1147010040,2
1075.2,-204.3,1147010072,2
831.8,508.8,1147010797,2
604.3,512.1,1147010841,2
